date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
02/16/2020,"AlAhad, 16 Safar, 2020",5:32 AM,6:10 AM,6:55 AM,12:09 PM,1:15 PM,3:38 PM,4:00 PM,5:26 PM,5:26 PM,6:45 PM,7:30 PM,12:15 PM,1:15 PM
02/17/2020,"AlEthnien, 17 Safar, 2020",5:31 AM,6:10 AM,6:53 AM,12:09 PM,1:15 PM,3:39 PM,4:00 PM,5:27 PM,5:27 PM,6:47 PM,7:30 PM,12:15 PM,1:15 PM
02/18/2020,"AthThulatha, 18 Safar, 2020",5:30 AM,6:00 AM,6:52 AM,12:09 PM,1:15 PM,3:41 PM,4:00 PM,5:29 PM,5:29 PM,6:48 PM,7:30 PM,12:15 PM,1:15 PM
02/19/2020,"AlArbia'a, 19 Safar, 2020",5:28 AM,6:00 AM,6:50 AM,12:09 PM,1:15 PM,3:42 PM,4:00 PM,5:30 PM,5:30 PM,6:49 PM,7:30 PM,12:15 PM,1:15 PM
02/20/2020,"AlKhamis, 20 Safar, 2020",5:26 AM,6:00 AM,6:48 AM,12:09 PM,1:15 PM,3:43 PM,4:00 PM,5:31 PM,5:31 PM,6:51 PM,7:30 PM,12:15 PM,1:15 PM
02/21/2020,"AlJumaa, 21 Safar, 2020",5:25 AM,6:00 AM,6:47 AM,12:08 PM,1:15 PM,3:45 PM,4:00 PM,5:33 PM,5:33 PM,6:52 PM,8:00 PM,12:15 PM,1:15 PM
02/22/2020,"AsSabt, 22 Safar, 2020",5:23 AM,6:00 AM,6:45 AM,12:08 PM,1:15 PM,3:46 PM,4:00 PM,5:34 PM,5:34 PM,6:53 PM,7:30 PM,12:15 PM,1:15 PM
02/23/2020,"AlAhad, 23 Safar, 2020",5:22 AM,6:00 AM,6:43 AM,12:08 PM,1:15 PM,3:47 PM,4:00 PM,5:36 PM,5:36 PM,6:55 PM,7:30 PM,12:15 PM,1:15 PM
02/24/2020,"AlEthnien, 24 Safar, 2020",5:20 AM,6:00 AM,6:42 AM,12:08 PM,1:15 PM,3:48 PM,4:00 PM,5:37 PM,5:37 PM,6:56 PM,7:30 PM,12:15 PM,1:15 PM
02/25/2020,"AthThulatha, 25 Safar, 2020",5:18 AM,5:50 AM,6:40 AM,12:08 PM,1:15 PM,3:50 PM,4:10 PM,5:39 PM,5:39 PM,6:57 PM,7:30 PM,12:15 PM,1:15 PM
02/26/2020,"AlArbia'a, 26 Safar, 2020",5:17 AM,5:50 AM,6:38 AM,12:08 PM,1:15 PM,3:51 PM,4:10 PM,5:40 PM,5:40 PM,6:59 PM,7:30 PM,12:15 PM,1:15 PM
02/27/2020,"AlKhamis, 27 Safar, 2020",5:15 AM,5:50 AM,6:37 AM,12:08 PM,1:15 PM,3:52 PM,4:10 PM,5:41 PM,5:41 PM,7:00 PM,7:30 PM,12:15 PM,1:15 PM
02/28/2020,"AlJumaa, 28 Safar, 2020",5:13 AM,5:50 AM,6:35 AM,12:07 PM,1:15 PM,3:53 PM,4:10 PM,5:43 PM,5:43 PM,7:01 PM,8:30 PM,12:15 PM,1:15 PM
02/29/2020,"AsSabt, 29 Safar, 2020",5:12 AM,5:50 AM,6:33 AM,12:07 PM,1:15 PM,3:55 PM,4:10 PM,5:44 PM,5:44 PM,7:03 PM,7:30 PM,12:15 PM,1:15 PM
03/01/2020,"AlAhad, 01 Rabi' Awwal, 2020",5:10 AM,5:50 AM,6:31 AM,12:07 PM,1:15 PM,3:56 PM,4:10 PM,5:46 PM,5:46 PM,7:04 PM,7:30 PM,12:15 PM,1:15 PM
03/02/2020,"AlEthnien, 02 Rabi' Awwal, 2020",5:08 AM,5:50 AM,6:29 AM,12:07 PM,1:15 PM,3:57 PM,4:10 PM,5:47 PM,5:47 PM,7:06 PM,7:30 PM,12:15 PM,1:15 PM
03/03/2020,"AthThulatha, 03 Rabi' Awwal, 2020",5:06 AM,5:40 AM,6:28 AM,12:07 PM,1:15 PM,3:58 PM,4:10 PM,5:48 PM,5:48 PM,7:07 PM,8:00 PM,12:15 PM,1:15 PM
03/04/2020,"AlArbia'a, 04 Rabi' Awwal, 2020",5:05 AM,5:40 AM,6:26 AM,12:06 PM,1:15 PM,3:59 PM,4:10 PM,5:50 PM,5:50 PM,7:08 PM,8:00 PM,12:15 PM,1:15 PM
03/05/2020,"AlKhamis, 05 Rabi' Awwal, 2020",5:03 AM,5:40 AM,6:24 AM,12:06 PM,1:15 PM,4:01 PM,4:10 PM,5:51 PM,5:51 PM,7:10 PM,8:00 PM,12:15 PM,1:15 PM
03/06/2020,"AlJumaa, 06 Rabi' Awwal, 2020",5:01 AM,5:40 AM,6:22 AM,12:06 PM,1:15 PM,4:02 PM,4:10 PM,5:52 PM,5:52 PM,7:11 PM,8:00 PM,12:15 PM,1:15 PM
03/07/2020,"AsSabt, 07 Rabi' Awwal, 2020",4:59 AM,5:40 AM,6:20 AM,12:06 PM,1:15 PM,4:03 PM,4:10 PM,5:54 PM,5:54 PM,7:12 PM,8:00 PM,12:15 PM,1:15 PM
03/08/2020,"AlAhad, 08 Rabi' Awwal, 2020",5:59 AM,6:20 AM,7:20 AM,12:06 PM,1:15 PM,5:03 PM,5:50 PM,6:54 PM,6:54 PM,8:12 PM,8:25 PM,12:15 PM,1:15 PM
03/09/2020,"AlEthnien, 09 Rabi' Awwal, 2020",5:57 AM,6:20 AM,7:19 AM,12:05 PM,1:15 PM,5:04 PM,5:50 PM,6:55 PM,6:55 PM,8:14 PM,8:25 PM,12:15 PM,1:15 PM
03/10/2020,"AthThulatha, 10 Rabi' Awwal, 2020",5:55 AM,6:20 AM,7:17 AM,12:05 PM,1:15 PM,5:05 PM,5:50 PM,6:56 PM,6:56 PM,8:15 PM,8:25 PM,12:15 PM,1:15 PM
03/11/2020,"AlArbia'a, 11 Rabi' Awwal, 2020",5:53 AM,6:20 AM,7:15 AM,12:05 PM,1:15 PM,5:06 PM,5:50 PM,6:58 PM,6:58 PM,8:16 PM,8:25 PM,12:15 PM,1:15 PM
03/12/2020,"AlKhamis, 12 Rabi' Awwal, 2020",5:52 AM,6:20 AM,7:13 AM,12:05 PM,1:15 PM,5:07 PM,5:50 PM,6:59 PM,6:59 PM,8:18 PM,8:25 PM,12:15 PM,1:15 PM
03/13/2020,"AlJumaa, 13 Rabi' Awwal, 2020",5:50 AM,6:20 AM,7:11 AM,12:04 PM,1:15 PM,5:08 PM,5:50 PM,7:01 PM,7:01 PM,8:19 PM,8:25 PM,12:15 PM,1:15 PM
03/14/2020,"AsSabt, 14 Rabi' Awwal, 2020",5:48 AM,6:20 AM,7:09 AM,12:04 PM,1:15 PM,5:09 PM,5:50 PM,7:02 PM,7:02 PM,8:21 PM,8:25 PM,12:15 PM,1:15 PM
03/15/2020,"AlAhad, 15 Rabi' Awwal, 2020",5:46 AM,6:20 AM,7:07 AM,12:04 PM,1:15 PM,5:11 PM,5:50 PM,7:03 PM,7:03 PM,8:22 PM,8:25 PM,12:15 PM,1:15 PM
03/16/2020,"AlEthnien, 16 Rabi' Awwal, 2020",5:44 AM,6:20 AM,7:05 AM,12:04 PM,1:15 PM,5:12 PM,5:50 PM,7:05 PM,7:05 PM,8:23 PM,8:40 PM,12:15 PM,1:15 PM
