,date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
66,03/07/2024,"AsSabt, 07 Rabi' Awwal, 2024",05:00 AM,05:20 AM,06:22 AM,12:06 PM,12:15 PM,03:16 PM,03:30 PM,05:51 PM,05:56 PM,07:13 PM,07:30 PM,12:15 PM,1:15 PM
67,03/08/2024,"AlAhad, 08 Rabi' Awwal, 2024",05:00 AM,05:20 AM,06:22 AM,12:06 PM,12:15 PM,03:16 PM,03:30 PM,05:51 PM,05:56 PM,07:13 PM,07:30 PM,12:15 PM,1:15 PM
68,03/09/2024,"AlEthnien, 09 Rabi' Awwal, 2024",04:58 AM,05:18 AM,06:20 AM,12:06 PM,12:15 PM,03:17 PM,03:30 PM,05:52 PM,05:57 PM,07:14 PM,07:30 PM,12:15 PM,1:15 PM
69,03/10/2024,"AthThulatha, 10 Rabi' Awwal, 2024",05:55 AM,06:15 AM,07:16 AM,01:05 PM,01:15 PM,04:18 PM,05:00 PM,06:55 PM,07:00 PM,08:17 PM,08:32 PM,12:15 PM,1:15 PM
70,03/11/2024,"AlArbia'a, 11 Rabi' Awwal, 2024",05:53 AM,06:13 AM,07:14 AM,01:05 PM,01:15 PM,04:19 PM,05:00 PM,06:56 PM,07:01 PM,08:18 PM,08:33 PM,12:15 PM,1:15 PM
71,03/12/2024,"AlKhamis, 12 Rabi' Awwal, 2024",05:51 AM,06:11 AM,07:12 AM,01:05 PM,01:15 PM,04:20 PM,05:00 PM,06:58 PM,07:03 PM,08:19 PM,08:34 PM,12:15 PM,1:15 PM
72,03/13/2024,"AlJumaa, 13 Rabi' Awwal, 2024",05:49 AM,06:09 AM,07:10 AM,01:05 PM,01:15 PM,04:21 PM,05:00 PM,06:59 PM,07:04 PM,08:21 PM,08:36 PM,12:15 PM,1:15 PM
73,03/14/2024,"AsSabt, 14 Rabi' Awwal, 2024",05:47 AM,06:07 AM,07:08 AM,01:05 PM,01:15 PM,04:22 PM,05:00 PM,07:00 PM,07:05 PM,08:22 PM,08:37 PM,12:15 PM,1:15 PM
74,03/15/2024,"AlAhad, 15 Rabi' Awwal, 2024",05:45 AM,06:05 AM,07:07 AM,01:04 PM,01:15 PM,04:22 PM,05:00 PM,07:02 PM,07:07 PM,08:24 PM,08:39 PM,12:15 PM,1:15 PM
75,03/16/2024,"AlEthnien, 16 Rabi' Awwal, 2024",05:43 AM,06:03 AM,07:05 AM,01:04 PM,01:15 PM,04:23 PM,05:00 PM,07:03 PM,07:08 PM,08:25 PM,08:40 PM,12:15 PM,1:15 PM
